#Hovefoss, 84.11.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2018-01-01 11:00:00Z;8,132101;0;3
2018-01-02 11:00:00Z;5,291047;0;3
2018-01-03 11:00:00Z;4,918735;0;3
2018-01-04 11:00:00Z;6,411265;0;3
2018-01-05 11:00:00Z;7,441751;0;3
2018-01-06 11:00:00Z;9,226688;0;3
2018-01-07 11:00:00Z;12,25204;0;3
2018-01-08 11:00:00Z;14,01961;0;3
2018-01-09 11:00:00Z;15,54676;0;3
2018-01-10 11:00:00Z;20,22641;0;3
2018-01-11 11:00:00Z;16,59538;0;3
2018-01-12 11:00:00Z;12,90024;0;3
2018-01-13 11:00:00Z;13,48694;0;3
2018-01-14 11:00:00Z;16,30141;0;3
2018-01-15 11:00:00Z;13,2768;0;3
2018-01-16 11:00:00Z;7,509849;0;3
2018-01-17 11:00:00Z;5,560837;0;3
2018-01-18 11:00:00Z;4,818195;0;3
2018-01-19 11:00:00Z;5,017195;0;3
2018-01-20 11:00:00Z;3,945534;0;3
2018-01-21 11:00:00Z;3,292427;0;3
2018-01-22 11:00:00Z;3,091703;0;3
2018-01-23 11:00:00Z;3,525254;0;3
2018-01-24 11:00:00Z;22,34884;0;3
2018-01-25 11:00:00Z;25,18066;0;3
2018-01-26 11:00:00Z;11,19048;0;3
2018-01-27 11:00:00Z;6,785169;0;3
2018-01-28 11:00:00Z;7,224679;0;3
2018-01-29 11:00:00Z;8,548748;0;3
2018-01-30 11:00:00Z;5,702868;0;3
2018-01-31 11:00:00Z;7,439549;0;3
2018-02-01 11:00:00Z;5,869705;0;3
2018-02-02 11:00:00Z;8,5672;0;3
2018-02-03 11:00:00Z;18,47387;0;3
2018-02-04 11:00:00Z;23,89653;0;3
2018-02-05 11:00:00Z;22,83426;0;3
2018-02-06 11:00:00Z;16,38763;0;3
2018-02-07 11:00:00Z;13,28266;0;3
2018-02-08 11:00:00Z;10,32073;0;3
2018-02-09 11:00:00Z;6,200912;0;3
2018-02-10 11:00:00Z;5,516146;0;3
2018-02-11 11:00:00Z;2,962867;0;3
2018-02-12 11:00:00Z;2,336513;0;3
2018-02-13 11:00:00Z;2,107203;0;3
2018-02-14 11:00:00Z;2,368158;0;3
2018-02-15 11:00:00Z;2,324015;0;3
2018-02-16 11:00:00Z;2,020019;0;3
2018-02-17 11:00:00Z;1,962762;0;3
2018-02-18 11:00:00Z;2,010915;0;3
2018-02-19 11:00:00Z;1,871908;0;3
2018-02-20 11:00:00Z;2,008962;0;3
2018-02-21 11:00:00Z;2,140039;0;3
2018-02-22 11:00:00Z;1,64577;0;3
2018-02-23 11:00:00Z;1,539891;0;3
2018-02-24 11:00:00Z;1,524922;0;3
2018-02-25 11:00:00Z;1,58261;0;3
2018-02-26 11:00:00Z;1,536045;0;3
2018-02-27 11:00:00Z;1,393555;0;3
2018-02-28 11:00:00Z;1,316108;0;3
2018-03-01 11:00:00Z;1,733699;0;3
2018-03-02 11:00:00Z;2,022809;0;3
2018-03-03 11:00:00Z;2,25104;0;3
2018-03-04 11:00:00Z;1,628132;0;3
2018-03-05 11:00:00Z;1,29212;0;3
2018-03-06 11:00:00Z;1,020341;0;3
2018-03-07 11:00:00Z;0,9331094;0;3
2018-03-08 11:00:00Z;1,165524;0;3
2018-03-09 11:00:00Z;1,21997;0;3
2018-03-10 11:00:00Z;1,031304;0;3
2018-03-11 11:00:00Z;0,9096457;0;3
2018-03-12 11:00:00Z;0,9420155;0;3
2018-03-13 11:00:00Z;0,8970442;0;3
2018-03-14 11:00:00Z;0,7752202;0;3
2018-03-15 11:00:00Z;0,6963837;0;3
2018-03-16 11:00:00Z;0,5980818;0;3
2018-03-17 11:00:00Z;0,4934871;0;3
2018-03-18 11:00:00Z;0,4475074;0;3
2018-03-19 11:00:00Z;0,8569067;0;3
2018-03-20 11:00:00Z;1,271489;0;3
2018-03-21 11:00:00Z;1,242411;0;3
2018-03-22 11:00:00Z;1,524733;0;3
2018-03-23 11:00:00Z;1,625789;0;3
2018-03-24 11:00:00Z;4,825393;0;3
2018-03-25 11:00:00Z;12,47704;0;3
2018-03-26 11:00:00Z;6,490548;0;3
2018-03-27 11:00:00Z;3,595658;0;3
2018-03-28 11:00:00Z;2,719515;0;3
2018-03-29 11:00:00Z;2,327075;0;3
2018-03-30 11:00:00Z;2,06378;0;3
2018-03-31 11:00:00Z;1,83551;0;3
2018-04-01 11:00:00Z;1,664637;0;3
2018-04-02 11:00:00Z;1,586614;0;3
2018-04-03 11:00:00Z;1,526318;0;3
2018-04-04 11:00:00Z;1,409313;0;3
2018-04-05 11:00:00Z;1,400054;0;3
2018-04-06 11:00:00Z;1,433259;0;3
2018-04-07 11:00:00Z;1,446268;0;3
2018-04-08 11:00:00Z;2,171239;0;3
2018-04-09 11:00:00Z;6,216608;0;3
2018-04-10 11:00:00Z;9,764926;0;3
2018-04-11 11:00:00Z;9,640812;0;3
2018-04-12 11:00:00Z;8,543156;0;3
2018-04-13 11:00:00Z;9,702581;0;3
2018-04-14 11:00:00Z;16,23376;0;3
2018-04-15 11:00:00Z;22,4118;0;3
2018-04-16 11:00:00Z;23,69795;0;3
