#Brulandsfoss ndf., 84.21.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2018-01-01 11:00:00Z;33,35293;0;3
2018-01-02 11:00:00Z;31,40511;0;3
2018-01-03 11:00:00Z;30,26651;0;3
2018-01-04 11:00:00Z;29,04117;0;3
2018-01-05 11:00:00Z;26,44605;0;3
2018-01-06 11:00:00Z;22,04158;0;3
2018-01-07 11:00:00Z;20,90322;0;3
2018-01-08 11:00:00Z;25,23423;0;3
2018-01-09 11:00:00Z;27,89058;0;3
2018-01-10 11:00:00Z;33,42955;0;3
2018-01-11 11:00:00Z;31,67892;0;3
2018-01-12 11:00:00Z;30,05994;0;3
2018-01-13 11:00:00Z;26,84138;0;3
2018-01-14 11:00:00Z;24,36196;0;3
2018-01-15 11:00:00Z;23,64407;0;3
2018-01-16 11:00:00Z;22,04367;0;3
2018-01-17 11:00:00Z;21,11025;0;3
2018-01-18 11:00:00Z;20,558;0;3
2018-01-19 11:00:00Z;20,28279;0;3
2018-01-20 11:00:00Z;19,32989;0;3
2018-01-21 11:00:00Z;17,27307;0;3
2018-01-22 11:00:00Z;17,18633;0;3
2018-01-23 11:00:00Z;18,3503;0;3
2018-01-24 11:00:00Z;23,80619;0;3
2018-01-25 11:00:00Z;36,98802;0;3
2018-01-26 11:00:00Z;26,95511;0;3
2018-01-27 11:00:00Z;22,03714;0;3
2018-01-28 11:00:00Z;22,29739;0;3
2018-01-29 11:00:00Z;26,83742;0;3
2018-01-30 11:00:00Z;23,75428;0;3
2018-01-31 11:00:00Z;24,25554;0;3
2018-02-01 11:00:00Z;21,17891;0;3
2018-02-02 11:00:00Z;19,11982;0;3
2018-02-03 11:00:00Z;17,1903;0;3
2018-02-04 11:00:00Z;15,84497;0;3
2018-02-05 11:00:00Z;16,17574;0;3
2018-02-06 11:00:00Z;15,82744;0;3
2018-02-07 11:00:00Z;15,84953;0;3
2018-02-08 11:00:00Z;15,94665;0;3
2018-02-09 11:00:00Z;16,35933;0;3
2018-02-10 11:00:00Z;16,93687;0;3
2018-02-11 11:00:00Z;14,75388;0;3
2018-02-12 11:00:00Z;13,74827;0;3
2018-02-13 11:00:00Z;13,3534;0;3
2018-02-14 11:00:00Z;12,70709;0;3
2018-02-15 11:00:00Z;10,90769;0;3
2018-02-16 11:00:00Z;8,527824;0;3
2018-02-17 11:00:00Z;7,040809;0;3
2018-02-18 11:00:00Z;6,490514;0;3
2018-02-19 11:00:00Z;6,290328;0;3
2018-02-20 11:00:00Z;6,223412;0;3
2018-02-21 11:00:00Z;6,681385;0;3
2018-02-22 11:00:00Z;7,026447;0;3
2018-02-23 11:00:00Z;7,086198;0;3
2018-02-24 11:00:00Z;6,530871;0;3
2018-02-25 11:00:00Z;6,025093;0;3
2018-02-26 11:00:00Z;5,849492;0;3
2018-02-27 11:00:00Z;5,739603;0;3
2018-02-28 11:00:00Z;5,874799;0;3
2018-03-01 11:00:00Z;5,68656;0;3
2018-03-02 11:00:00Z;5,559461;0;3
2018-03-03 11:00:00Z;5,472954;0;3
2018-03-04 11:00:00Z;5,498703;0;3
2018-03-05 11:00:00Z;5,421181;0;3
2018-03-06 11:00:00Z;5,346571;0;3
2018-03-07 11:00:00Z;5,27988;0;3
2018-03-08 11:00:00Z;5,346041;0;3
2018-03-09 11:00:00Z;5,570332;0;3
2018-03-10 11:00:00Z;5,473543;0;3
2018-03-11 11:00:00Z;5,299971;0;3
2018-03-12 11:00:00Z;5,158609;0;3
2018-03-13 11:00:00Z;5,153121;0;3
2018-03-14 11:00:00Z;5,09763;0;3
2018-03-15 11:00:00Z;4,993621;0;3
2018-03-16 11:00:00Z;4,900518;0;3
2018-03-17 11:00:00Z;4,408736;0;3
2018-03-18 11:00:00Z;3,672069;0;3
2018-03-19 11:00:00Z;3,051145;0;3
2018-03-20 11:00:00Z;2,788565;0;3
2018-03-21 11:00:00Z;2,63522;0;3
2018-03-22 11:00:00Z;2,512471;0;3
2018-03-23 11:00:00Z;2,402905;0;3
2018-03-24 11:00:00Z;2,50755;0;3
2018-03-25 11:00:00Z;3,603901;0;3
2018-03-26 11:00:00Z;5,073392;0;3
2018-03-27 11:00:00Z;4,509414;0;3
2018-03-28 11:00:00Z;3,859849;0;3
2018-03-29 11:00:00Z;3,425137;0;3
2018-03-30 11:00:00Z;3,144591;0;3
2018-03-31 11:00:00Z;2,974044;0;3
2018-04-01 11:00:00Z;2,895893;0;3
2018-04-02 11:00:00Z;2,824332;0;3
2018-04-03 11:00:00Z;2,763332;0;3
2018-04-04 11:00:00Z;2,710985;0;3
2018-04-05 11:00:00Z;2,684865;0;3
2018-04-06 11:00:00Z;2,686776;0;3
2018-04-07 11:00:00Z;2,710751;0;3
2018-04-08 11:00:00Z;2,764961;0;3
2018-04-09 11:00:00Z;3,246185;0;3
2018-04-10 11:00:00Z;5,314278;0;3
2018-04-11 11:00:00Z;7,527851;0;3
2018-04-12 11:00:00Z;8,59142;0;3
2018-04-13 11:00:00Z;10,2969;0;3
2018-04-14 11:00:00Z;16,50774;0;3
2018-04-15 11:00:00Z;26,80122;0;3
2018-04-16 11:00:00Z;33,29993;0;3
2018-04-17 11:00:00Z;37,07929;0;3
2018-04-18 11:00:00Z;46,33147;0;3
2018-04-19 11:00:00Z;55,16677;0;3
2018-04-20 11:00:00Z;76,1978;0;3
2018-04-21 11:00:00Z;91,20937;0;3
2018-04-22 11:00:00Z;85,86964;0;3
2018-04-23 11:00:00Z;87,09205;0;3
2018-04-24 11:00:00Z;98,51353;0;3
2018-04-25 11:00:00Z;89,96828;0;3
2018-04-26 11:00:00Z;77,88441;0;3
2018-04-27 11:00:00Z;68,68785;0;3
2018-04-28 11:00:00Z;60,958;0;3
2018-04-29 11:00:00Z;53,60624;0;3
2018-04-30 11:00:00Z;48,29636;0;3
2018-05-01 11:00:00Z;45,28082;0;3
2018-05-02 11:00:00Z;43,89612;0;3
2018-05-03 11:00:00Z;45,03049;0;3
2018-05-04 11:00:00Z;44,46123;0;3
2018-05-05 11:00:00Z;55,68795;0;3
2018-05-06 11:00:00Z;76,02271;0;3
2018-05-07 11:00:00Z;94,05556;0;3
2018-05-08 11:00:00Z;99,21256;0;3
2018-05-09 11:00:00Z;108,2201;0;3
2018-05-10 11:00:00Z;122,297;0;3
2018-05-11 11:00:00Z;128,2305;0;3
2018-05-12 11:00:00Z;114,0744;0;3
2018-05-13 11:00:00Z;102,1667;0;3
2018-05-14 11:00:00Z;95,95842;0;3
2018-05-15 11:00:00Z;93,92774;0;3
2018-05-16 11:00:00Z;91,42942;0;3
2018-05-17 11:00:00Z;84,33754;0;3
2018-05-18 11:00:00Z;73,93133;0;3
2018-05-19 11:00:00Z;65,54494;0;3
2018-05-20 11:00:00Z;59,52782;0;3
2018-05-21 11:00:00Z;59,03179;0;3
2018-05-22 11:00:00Z;60,26503;0;3
2018-05-23 11:00:00Z;58,28127;0;3
2018-05-24 11:00:00Z;55,77008;0;3
2018-05-25 11:00:00Z;54,42498;0;3
2018-05-26 11:00:00Z;53,79503;0;3
2018-05-27 11:00:00Z;52,29373;0;3
2018-05-28 11:00:00Z;51,53021;0;3
2018-05-29 11:00:00Z;51,46282;0;3
2018-05-30 11:00:00Z;52,4331;0;3
2018-05-31 11:00:00Z;54,42998;0;3
2018-06-01 11:00:00Z;55,47763;0;3
2018-06-02 11:00:00Z;54,44758;0;3
2018-06-03 11:00:00Z;52,58006;0;3
2018-06-04 11:00:00Z;51,91636;0;3
2018-06-05 11:00:00Z;50,59303;0;3
2018-06-06 11:00:00Z;46,75476;0;3
2018-06-07 11:00:00Z;43,27519;0;3
2018-06-08 11:00:00Z;41,87628;0;3
2018-06-09 11:00:00Z;39,72889;0;3
2018-06-10 11:00:00Z;38,46842;0;3
2018-06-11 11:00:00Z;39,77695;0;3
2018-06-12 11:00:00Z;38,96801;0;3
2018-06-13 11:00:00Z;36,70332;0;3
2018-06-14 11:00:00Z;36,32047;0;3
2018-06-15 11:00:00Z;47,97268;0;3
2018-06-16 11:00:00Z;62,16552;0;3
2018-06-17 11:00:00Z;57,74714;0;3
2018-06-18 11:00:00Z;52,51026;0;3
2018-06-19 11:00:00Z;75,91793;0;3
2018-06-20 11:00:00Z;90,70943;0;3
2018-06-21 11:00:00Z;79,97096;0;3
2018-06-22 11:00:00Z;69,95544;0;3
2018-06-23 11:00:00Z;60,18951;0;3
2018-06-24 11:00:00Z;52,49789;0;3
2018-06-25 11:00:00Z;50,08312;0;3
2018-06-26 11:00:00Z;45,63622;0;3
2018-06-27 11:00:00Z;41,28191;0;3
2018-06-28 11:00:00Z;37,22897;0;3
2018-06-29 11:00:00Z;33,86201;0;3
2018-06-30 11:00:00Z;29,89487;0;3
2018-07-01 11:00:00Z;26,82075;0;3
2018-07-02 11:00:00Z;25,63764;0;3
2018-07-03 11:00:00Z;25,11266;0;3
2018-07-04 11:00:00Z;25,06774;0;3
2018-07-05 11:00:00Z;24,40187;0;3
2018-07-06 11:00:00Z;23,5425;0;3
2018-07-07 11:00:00Z;22,13758;0;3
2018-07-08 11:00:00Z;20,79085;0;3
2018-07-09 11:00:00Z;20,43331;0;3
2018-07-10 11:00:00Z;22,34917;0;3
2018-07-11 11:00:00Z;22,24648;0;3
2018-07-12 11:00:00Z;22,54455;0;3
2018-07-13 11:00:00Z;22,62225;0;3
2018-07-14 11:00:00Z;22,14789;0;3
