"isotope","station","depth","mass conc.","# particles","particle conc.","particle conc. LOD"
"Al","Inner",10,26.7,7,1555514,2246938
"Al","Inner",10,0.7,2,444433,2246938
"Al","Inner",10,0.6,2,444433,2246938
"Al","Inner",20,0.8,5,1111081,2246938
"Al","Inner",20,4.6,4,888865,2246938
"Al","Inner",20,0,0,0,2246938
"Al","Inner",50,53.9,11,2444379,2246938
"Al","Inner",50,11.3,9,1999947,2246938
"Al","Inner",50,8,8,1777730,2246938
"Al","Inner",100,1.6,7,1555514,2246938
"Al","Inner",100,0.3,2,444433,2246938
"Al","Inner",100,2.2,6,1333298,2246938
"Al","Inner",200,47.4,20,4444326,2246938
"Al","Inner",200,55,22,4888759,2246938
"Al","Inner",200,5.4,17,3777677,2246938
"Al","Inner",336,139.8,88,19555034,2246938
"Al","Inner",336,88.4,38,8444219,2246938
"Al","Inner",336,97,39,8666436,2246938
"Fe","Inner",10,1.3,2,444433,1444915
"Fe","Inner",10,0,0,0,1444915
"Fe","Inner",20,2.4,7,1555514,1444915
"Fe","Inner",20,0.2,2,444433,1444915
"Fe","Inner",20,0.4,2,444433,1444915
"Fe","Inner",50,33.5,16,3555461,1444915
"Fe","Inner",50,5.5,8,1777730,1444915
"Fe","Inner",50,24,6,1333298,1444915
"Fe","Inner",100,2.2,4,888865,1444915
"Fe","Inner",100,12.1,4,888865,1444915
"Fe","Inner",100,7.9,7,1555514,1444915
"Fe","Inner",200,23.2,34,7555354,1444915
"Fe","Inner",200,37.7,23,5110975,1444915
"Fe","Inner",200,101.7,30,6666489,1444915
"Fe","Inner",336,264.4,186,41332231,1444915
"Fe","Inner",336,82.3,135,29999200,1444915
"Fe","Inner",336,82.1,116,25777090,1444915
"Mn","Inner",10,0.2,2,444433,1794086
"Mn","Inner",10,0,0,0,1794086
"Mn","Inner",10,0,0,0,1794086
"Mn","Inner",20,0,0,0,1794086
"Mn","Inner",20,0.8,3,666649,1794086
"Mn","Inner",20,1,5,1111081,1794086
"Mn","Inner",50,0,0,0,1794086
"Mn","Inner",50,0,1,222216,1794086
"Mn","Inner",50,0.4,3,666649,1794086
"Mn","Inner",100,0,1,222216,1794086
"Mn","Inner",100,0,1,222216,1794086
"Mn","Inner",100,1,3,666649,1794086
"Mn","Inner",200,5.6,9,1999947,1794086
"Mn","Inner",200,55.2,10,2222163,1794086
"Mn","Inner",200,3.9,7,1555514,1794086
"Mn","Inner",336,32.7,39,8666436,1794086
"Mn","Inner",336,26.9,26,5777624,1794086
"Mn","Inner",336,309.3,29,6444273,1794086
"Pb","Inner",10,0,0,0,1444915
"Pb","Inner",10,0,0,0,1444915
"Pb","Inner",10,0,0,0,1444915
"Pb","Inner",20,0,0,0,1444915
"Pb","Inner",20,0,0,0,1444915
"Pb","Inner",20,0,0,0,1444915
"Pb","Inner",50,0,0,0,1444915
"Pb","Inner",50,0,0,0,1444915
"Pb","Inner",50,0,1,222216,1444915
"Pb","Inner",100,0,0,0,1444915
"Pb","Inner",100,0,0,0,1444915
"Pb","Inner",100,0,0,0,1444915
"Pb","Inner",200,0,0,0,1444915
"Pb","Inner",200,0.1,1,222216,1444915
"Pb","Inner",200,0,1,222216,1444915
"Pb","Inner",336,0.1,1,222216,1444915
"Pb","Inner",336,0,0,0,1444915
"Pb","Inner",336,0,0,0,1444915
"Si","Inner",10,0.7,1,222216,2027702
"Si","Inner",10,11.7,3,666649,2027702
"Si","Inner",10,0,0,0,2027702
"Si","Inner",20,15.1,2,444433,2027702
"Si","Inner",20,0,0,0,2027702
"Si","Inner",20,0,0,0,2027702
"Si","Inner",50,65.9,3,666649,2027702
"Si","Inner",50,0.5,1,222216,2027702
"Si","Inner",50,10.7,1,222216,2027702
"Si","Inner",100,0,0,0,2027702
"Si","Inner",100,1.4,1,222216,2027702
"Si","Inner",100,4.4,2,444433,2027702
"Si","Inner",200,132.7,11,2444379,2027702
"Si","Inner",200,63,8,1777730,2027702
"Si","Inner",200,72.3,8,1777730,2027702
"Si","Inner",336,566.3,33,7333138,2027702
"Si","Inner",336,272,8,1777730,2027702
"Si","Inner",336,34.2,9,1999947,2027702
"Ti","Inner",10,0.9,2,444433,1444915
"Ti","Inner",10,0,0,0,1444915
"Ti","Inner",10,0,0,0,1444915
"Ti","Inner",20,0,0,0,1444915
"Ti","Inner",20,0,1,222216,1444915
"Ti","Inner",20,0,1,222216,1444915
"Ti","Inner",50,4.5,6,1333298,1444915
"Ti","Inner",50,0.1,1,222216,1444915
"Ti","Inner",50,0,1,222216,1444915
"Ti","Inner",100,0.2,1,222216,1444915
"Ti","Inner",100,0,1,222216,1444915
"Ti","Inner",100,0,0,0,1444915
"Ti","Inner",200,0,0,0,1444915
"Ti","Inner",200,0.2,1,222216,1444915
"Ti","Inner",200,0.6,3,666649,1444915
"Ti","Inner",336,14.7,7,1555514,1444915
"Ti","Inner",336,0.1,1,222216,1444915
